pole,concept,IT,EN,DE
aggression,insult_idiot,idiota,idiot,idiot
aggression,insult_moron,cretino,moron,depp
aggression,insult_stupid,stupido,stupid,dumm
aggression,insult_imbecile,imbecille,dumb,blöd
aggression,insult_incompetent,deficiente,pathetic,trottel
aggression,swear_scatological,merda,trash,mist
aggression,insult_asshole,stronzo,asshole,arschloch
aggression,swear_fuck_off,vaffanculo,fuck off,verpiss dich
aggression,shut_up,fanculo,shut up,halt die fresse
aggression,death_wish_die,muori,go die,stirb
aggression,death_wish_kill,ammazzati,kill yourself,bring dich um
aggression,hate,odio,hate you,hass
aggression,racist_slur,razzista,racist,rassist
aggression,fascist_insult,fascista di merda,fascist,faschist
aggression,swear_pig,porco,pig,schwein
aggression,insult_bastard,bastardo,bastard,bastard
aggression,insult_jerk,minchione,jerk,vollidiot
aggression,insult_loser,sfigato,loser,versager
aggression,insult_garbage,spazzatura,garbage,müll
aggression,insult_pathetic,patetico,pathetic,erbärmlich
aggression,insult_worthless,inutile,worthless,wertlos
aggression,insult_clown,pagliaccio,clown,clown
aggression,insult_disgusting,disgusto,disgusting,ekelhaft
aggression,insult_troll,troll,troll,troll
aggression,insult_lunatic,pazzo,lunatic,verrückt
