pole,concept,IT,EN,DE
nationalist,eu_sceptic,euroscettico,eurosceptic,euroskeptisch
nationalist,patriotism,patriota,nationalists,patrioten
nationalist,immig_illegal,clandestini,illegals,illegale
nationalist,immig_threat,invasione di migranti,migrant invasion,überfremdung
nationalist,immig_return,rimpatri,deportations,abschiebung
nationalist,close_borders,porti chiusi,close the borders,grenzen dicht
cosmopolitan,eu_pro,europeista,pro-european,proeuropäisch
cosmopolitan,immig_welcome,accoglienza,refugees welcome,willkommenskultur
cosmopolitan,citizenship,ius soli,birthright citizenship,bleiberecht
cosmopolitan,sea_rescue,salvataggi in mare,sea rescue,seenotrettung
