pole,concept,IT,EN,DE
traditional,tradition,valori tradizionali,traditional-values,traditionelle werte
traditional,family,famiglia tradizionale,family-values,familienwerte
traditional,anti_gender,ideologia gender,gender-ideology,genderideologie
traditional,identity,identità nazionale,national heritage,leitkultur
traditional,political_correctness,politicamente corretto,political-correctness,politische korrektheit
traditional,christian_roots,radici cristiane,christian-values,christliches abendland
progressive,civil_rights,diritti civili,civil-rights,bürgerrechte
progressive,gender_equality,parità di genere,gender-equality,geschlechtergerechtigkeit
progressive,environment,ambientalista,environmentalist,klimaschutz
progressive,antifascism,antifascista,anti-fascist,antifaschistisch
progressive,lgbt_rights,diritti lgbt,lgbtq-rights,lgbtq-rechte
progressive,patriarchy,patriarcato,patriarchy,patriarchat
progressive,human_rights,diritti umani,human rights,menschenrechte
progressive,systemic_racism,razzismo sistemico,systemic racism,struktureller rassismus
