pole,concept,IT,EN,DE
emotion,love,amore,love,Liebe
emotion,hate,odio,hate,Hass
emotion,fear,paura,fear,Angst
emotion,anger,rabbia,anger,Wut
emotion,joy,gioia,joy,Freude
emotion,sadness,tristezza,sadness,Trauer
emotion,happy,felice,happy,glücklich
emotion,scared,spaventato,scared,verängstigt
emotion,terrible,terribile,terrible,schrecklich
emotion,wonderful,meraviglioso,wonderful,wunderbar
emotion,disgust,disgusto,disgust,Ekel
emotion,horror,orrore,horror,Entsetzen
emotion,desperate,disperato,desperate,verzweifelt
emotion,excited,entusiasta,excited,begeistert
emotion,furious,furioso,furious,wütend
emotion,cruel,crudele,cruel,grausam
emotion,shame,vergogna,shame,Scham
emotion,proud,orgoglioso,proud,stolz
emotion,panic,panico,panic,Panik
emotion,suffering,sofferenza,suffering,Leid
emotion,outrage,indignazione,outrage,Empörung
emotion,tragedy,tragedia,tragedy,Tragödie
emotion,passion,passione,passion,Leidenschaft
emotion,beloved,amato,beloved,geliebt
emotion,pain,dolore,pain,Schmerz
cognition,because,perché,because,weil
cognition,therefore,quindi,therefore,deshalb
cognition,thus,dunque,thus,somit
cognition,hence,pertanto,hence,folglich
cognition,analysis,analisi,analysis,Analyse
cognition,reason,ragione,reason,Vernunft
cognition,evidence,evidenza,evidence,Beleg
cognition,data,dati,data,Daten
cognition,statistics,statistica,statistics,Statistik
cognition,conclusion,conclusione,conclusion,Schlussfolgerung
cognition,logic,logica,logic,Logik
cognition,hypothesis,ipotesi,hypothesis,Hypothese
cognition,argument,argomento,argument,Argument
cognition,consequence,conseguenza,consequence,Konsequenz
cognition,evaluate,valutare,evaluate,bewerten
cognition,consider,considerare,consider,erwägen
cognition,conclude,concludere,conclude,folgern
cognition,factor,fattore,factor,Faktor
cognition,compare,confrontare,compare,vergleichen
cognition,method,metodo,method,Methode
cognition,result,risultato,result,Ergebnis
cognition,estimate,stima,estimate,Schätzung
cognition,principle,principio,principle,Prinzip
cognition,proof,prova,proof,Beweis
cognition,rational,razionale,rational,rational
