category,slot_concept,type,IT,IT_grade,EN (US/UK),EN_grade,DE,DE_grade,notes
1. Institutions & branches of government,government,generic,governo,2,government,2,regierung,2,
1. Institutions & branches of government,governments (pl.),generic,governi,2,governments,2,regierungen,2,
1. Institutions & branches of government,parliament,generic,parlamento,2,parliament,2,parlament,2,
1. Institutions & branches of government,parliaments (pl.),generic,parlamenti,2,parliaments,2,parlamente,2,
1. Institutions & branches of government,senate,generic,senato,2,senate,2,senat,2,DE upper house is Bundesrat; 'Senat' exists for city-states
1. Institutions & branches of government,chamber of deputies / lower house,generic,camera dei deputati,3,house of representatives,3,bundestag,3,"functional analogs, not translations"
1. Institutions & branches of government,senate of the republic / upper house,generic,senato della repubblica,3,senate,2,bundesrat,3,functional analogs
1. Institutions & branches of government,PM office (seat of govt),generic,palazzo chigi,3,downing street,3,kanzleramt,3,metonyms for the head of government's office
1. Institutions & branches of government,council of ministers / cabinet,generic,consiglio dei ministri,3,cabinet,3,kabinett,3,
1. Institutions & branches of government,constitutional court,generic,corte costituzionale,3,constitutional court,3,verfassungsgericht,3,EN analog: supreme court
1. Institutions & branches of government,court of auditors,generic,corte dei conti,3,court of auditors,3,rechnungshof,3,
1. Institutions & branches of government,judiciary,generic,magistratura,2,judiciary,2,justiz,2,
1. Institutions & branches of government,magistrates / judges,generic,magistrati,2,magistrates,2,richter,2,
1. Institutions & branches of government,technocratic government,generic,governo tecnico,3,technocratic government,3,technokratische regierung,3,
1. Institutions & branches of government,national-unity government,generic,governo di unità nazionale,3,national unity government,3,regierung der nationalen einheit,3,
2. Government roles & offices,prime minister / PM,generic,presidente del consiglio,3,prime minister,3,bundeskanzler,3,head of government; DE analog Kanzler
2. Government roles & offices,president of the republic / head of state,generic,presidente della repubblica,3,president,3,bundespräsident,3,
2. Government roles & offices,speaker of the lower house,generic,presidente della camera,3,speaker,3,bundestagspräsident,3,
2. Government roles & offices,speaker of the upper house,generic,presidente del senato,3,senate president,3,bundesratspräsident,3,
2. Government roles & offices,premier (role/slang),generic,premier,2,premier,1,premierminister,3,also 'Premier League' (sport) -> FP risk
2. Government roles & offices,deputy prime minister,generic,vicepremier,3,deputy prime minister,3,vizekanzler,3,
2. Government roles & offices,minister,generic,ministro,2,minister,2,minister,2,
2. Government roles & offices,ministers (pl.),generic,ministri,2,ministers,2,minister,2,
2. Government roles & offices,minister (f.),generic,ministra,2,minister,2,ministerin,2,
2. Government roles & offices,undersecretary,generic,sottosegretario,3,undersecretary,3,staatssekretär,3,
2. Government roles & offices,deputy minister,generic,viceministro,3,deputy minister,3,stellvertretender minister,3,
