pole,concept,IT,EN,DE
anti_est,lying_press,stampa bugiarda,fake news media,lügenpresse
anti_est,the_elite,la casta,the elite,die elite
anti_est,deep_state,stato profondo,deep state,tiefer staat
anti_est,eurocrats,eurocrati,eurocrats,eu-bürokraten
anti_est,fake_experts,sedicenti esperti,so-called experts,sogenannte experten
anti_est,corrupt_system,sistema corrotto,corrupt system,korruptes system
anti_est,career_politicians,politicanti,career politicians,berufspolitiker
anti_est,old_parties,partitocrazia,establishment parties,altparteien
anti_est,sheeple,pecoroni,sheeple,schlafschafe
anti_est,globalists,globalisti,globalists,globalisten
anti_est,powers_that_be,poteri forti,the powers that be,die da oben
pro_inst,rule_of_law,stato di diritto,rule of law,rechtsstaat
pro_inst,evidence_based,basato su dati,evidence-based,faktenbasiert
pro_inst,scientific_consensus,consenso scientifico,scientific consensus,wissenschaftlicher konsens
pro_inst,reputable_media,stampa autorevole,reputable press,seriöse presse
pro_inst,independent_judiciary,magistratura indipendente,independent judiciary,unabhängige justiz
pro_inst,reliable_sources,fonti attendibili,reliable sources,verlässliche quellen
pro_inst,fact_checking,fact-checking,fact-checking,faktencheck
anti_est,oligarchy,oligarchi,oligarchs,oligarchen
anti_est,brussels,bruxelles,brussels,brüssel
anti_est,technocrats,tecnocrati,technocrats,technokraten
anti_est,rigged,truccato,rigged,manipuliert
pro_inst,credible,credibile,credible,glaubwürdig
pro_inst,expertise,competenza,expertise,fachwissen
pro_inst,integrity,integrità,integrity,integrität
